casistica;descrizione_casistica;cosa_fare;url_prodotto;title;categorie_assegnate;primaria_attuale_in_yoast;primaria_da_impostare;percorso_finale_atteso;url_primaria_da_impostare;percorso_visibile_oggi;regola_applicata;note
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/bracciale-rosario-e-porta-rosario-in-metallo-diametro-4cm/;Bracciale Rosario e Porta Rosario in Metallo diametro 4cm;Idee Regalo Originali e Artigianali;Complementi d’arredo e idee regalo artigianali;Idee Regalo Originali e Artigianali;Complementi d’arredo e idee regalo artigianali > Idee Regalo Originali e Artigianali;https://www.albalu.it/categoria-prodotto/complementi-d-arredo-regali/regali/;Complementi d’arredo e idee regalo artigianali > Idee Regalo Originali e Artigianali;nessun evento -> tema/tipologia/altro;
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/bracciale-santo-rosario-argentato-uomo-donna-portarosario-portapillole-in-pvc/;Portarosario in pc Placca Padre pio;Idee Regalo Originali e Artigianali;Complementi d’arredo e idee regalo artigianali;Idee Regalo Originali e Artigianali;Complementi d’arredo e idee regalo artigianali > Idee Regalo Originali e Artigianali;https://www.albalu.it/categoria-prodotto/complementi-d-arredo-regali/regali/;Complementi d’arredo e idee regalo artigianali > Idee Regalo Originali e Artigianali;nessun evento -> tema/tipologia/altro;
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/calendario-perpetuo-regalo-maestre-fine-anno/;Calendario Perpetuo Regalo Maestre Fine Anno;Bomboniere Calendario Perpetuo Personalizzabili;Bomboniere per Tipologia: Portafoto, Profumatori, Orologi;Bomboniere Calendario Perpetuo Personalizzabili;Bomboniere per Tipologia: Portafoto, Profumatori, Orologi > Bomboniere Calendario Perpetuo Personalizzabili;https://www.albalu.it/categoria-prodotto/bomboniere-per-tipologia/bomboniere-calendario-perpetuo-personalizzabili/;Bomboniere per Tipologia: Portafoto, Profumatori, Orologi > Bomboniere Calendario Perpetuo Personalizzabili;nessun evento -> tema/tipologia/altro;
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/capezzale-maternita-albero-della-vita/;Capezzale Maternità Albero della Vita;Outlet Quadri e Articoli da Regalo in Offerta;Complementi d’arredo e idee regalo artigianali;Outlet Quadri e Articoli da Regalo in Offerta;Complementi d’arredo e idee regalo artigianali > Outlet Quadri e Articoli da Regalo in Offerta;https://www.albalu.it/categoria-prodotto/complementi-d-arredo-regali/outlet-quadri-e-articoli-da-regalo/;Complementi d’arredo e idee regalo artigianali > Outlet Quadri e Articoli da Regalo in Offerta;nessun evento -> tema/tipologia/altro;
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/capezzale-maternita-classico/;Capezzale Maternità Classico dipinto a mano su tela;Outlet Quadri e Articoli da Regalo in Offerta;Complementi d’arredo e idee regalo artigianali;Outlet Quadri e Articoli da Regalo in Offerta;Complementi d’arredo e idee regalo artigianali > Outlet Quadri e Articoli da Regalo in Offerta;https://www.albalu.it/categoria-prodotto/complementi-d-arredo-regali/outlet-quadri-e-articoli-da-regalo/;Complementi d’arredo e idee regalo artigianali > Outlet Quadri e Articoli da Regalo in Offerta;nessun evento -> tema/tipologia/altro;
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/capezzale-maternita-in-argento-laminato-con-retro-in-legno/;Capezzale Maternità in Argento Laminato con retro in Legno;Idee Regalo Originali e Artigianali;Complementi d’arredo e idee regalo artigianali;Idee Regalo Originali e Artigianali;Complementi d’arredo e idee regalo artigianali > Idee Regalo Originali e Artigianali;https://www.albalu.it/categoria-prodotto/complementi-d-arredo-regali/regali/;Complementi d’arredo e idee regalo artigianali > Idee Regalo Originali e Artigianali;nessun evento -> tema/tipologia/altro;
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/capezzale-moderno-maternita-flower-brown/;Capezzale Moderno Maternità Flower Brown;Outlet Quadri e Articoli da Regalo in Offerta;Complementi d’arredo e idee regalo artigianali;Outlet Quadri e Articoli da Regalo in Offerta;Complementi d’arredo e idee regalo artigianali > Outlet Quadri e Articoli da Regalo in Offerta;https://www.albalu.it/categoria-prodotto/complementi-d-arredo-regali/outlet-quadri-e-articoli-da-regalo/;Complementi d’arredo e idee regalo artigianali > Outlet Quadri e Articoli da Regalo in Offerta;nessun evento -> tema/tipologia/altro;
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/capezzale-sacra-famiglia-dipinto-a-mano/;Capezzale Sacra Famiglia Dipinto a mano;Outlet Quadri e Articoli da Regalo in Offerta;Complementi d’arredo e idee regalo artigianali;Outlet Quadri e Articoli da Regalo in Offerta;Complementi d’arredo e idee regalo artigianali > Outlet Quadri e Articoli da Regalo in Offerta;https://www.albalu.it/categoria-prodotto/complementi-d-arredo-regali/outlet-quadri-e-articoli-da-regalo/;Complementi d’arredo e idee regalo artigianali > Outlet Quadri e Articoli da Regalo in Offerta;nessun evento -> tema/tipologia/altro;
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/capezzale-ultima-cena-in-argento-laminato-con-retro-legno-e-scatola-da-regalo/;Capezzale Ultima Cena in Argento Laminato e Scatola Regalo;Idee Regalo Originali e Artigianali;Complementi d’arredo e idee regalo artigianali;Idee Regalo Originali e Artigianali;Complementi d’arredo e idee regalo artigianali > Idee Regalo Originali e Artigianali;https://www.albalu.it/categoria-prodotto/complementi-d-arredo-regali/regali/;Complementi d’arredo e idee regalo artigianali > Idee Regalo Originali e Artigianali;nessun evento -> tema/tipologia/altro;
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/cavallo-rampante-in-resina-argentata-statua-scultura-scatola-regalo-inclusa-made-in-italy/;Cavallo Rampante in Resina Argentata Statua Scultura;Portafortuna in Resina Argentata;Complementi d’arredo e idee regalo artigianali;Portafortuna in Resina Argentata;Complementi d’arredo e idee regalo artigianali > Portafortuna in Resina Argentata;https://www.albalu.it/categoria-prodotto/complementi-d-arredo-regali/portafortuna-resina-argentata/;Complementi d’arredo e idee regalo artigianali > Portafortuna in Resina Argentata;nessun evento -> tema/tipologia/altro;
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/cavallo-rampante-statua-scultura-in-resina-argento-misura-35-cm/;Cavallo Rampante Statua Scultura in Resina Argento Misura 35 cm;Portafortuna in Resina Argentata;Complementi d’arredo e idee regalo artigianali;Portafortuna in Resina Argentata;Complementi d’arredo e idee regalo artigianali > Portafortuna in Resina Argentata;https://www.albalu.it/categoria-prodotto/complementi-d-arredo-regali/portafortuna-resina-argentata/;Complementi d’arredo e idee regalo artigianali > Portafortuna in Resina Argentata;nessun evento -> tema/tipologia/altro;
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/ciondolo-a-forma-di-croce-in-zama-argentata-con-dettaglio-calice-comunione-e-foro-per-portachiavi/;Ciondolo Croce Calice Comunione | Albalù;Confettate e Segnaposto Comunione | Bomboniere Religiose e Sacre;Bomboniere e Confettate Prima Comunione Personalizzate;Confettate e Segnaposto Comunione;Bomboniere e Confettate Prima Comunione Personalizzate > Confettate e Segnaposto Comunione;https://www.albalu.it/categoria-prodotto/bomboniere-comunione-e-confettate/comunione-confettate-segnaposto/;Bomboniere per tema > Bomboniere Religiose e Sacre;evento singolo (Comunione) -> categoria evento;
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/collana-rosario-e-porta-rosario-in-metallo-sacra-famiglia-madonna-con-bambino-angeli-padre-pio-diametro-4cm/;Collana Rosario e Porta Rosario in Metallo con decoro Sacro;Idee Regalo Originali e Artigianali;Complementi d’arredo e idee regalo artigianali;Idee Regalo Originali e Artigianali;Complementi d’arredo e idee regalo artigianali > Idee Regalo Originali e Artigianali;https://www.albalu.it/categoria-prodotto/complementi-d-arredo-regali/regali/;Complementi d’arredo e idee regalo artigianali > Idee Regalo Originali e Artigianali;nessun evento -> tema/tipologia/altro;
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/confettata-barattolino-vetro-portaconfetti-con-albero-della-vita-cuore-e-gabbietta/;Confettata Barattolino Vetro con Albero della vita, Cuore e gabbietta;Confettate e Segnaposto Comunione | Anniversario di Matrimonio: Confettate e Segnaposto | Bomboniere Compleanno | Compleanno Confettate Segnaposto | Segnaposto e Confettata Cresima Personalizzati | Segnaposto e Confettata Matrimonio Personalizzati | Segnaposto e Confettate Battesimo;Bomboniere e Confettate Prima Comunione Personalizzate;Confettate e Segnaposto Comunione;Bomboniere e Confettate Prima Comunione Personalizzate > Confettate e Segnaposto Comunione;https://www.albalu.it/categoria-prodotto/bomboniere-comunione-e-confettate/comunione-confettate-segnaposto/;Anniversario di Matrimonio: Confettate e Segnaposto;multievento (Anniversario, Battesimo, Compleanno, Comunione, Cresima, Matrimonio) -> tema/tipologia;multievento senza categoria tema/tipologia assegnata: valutare di assegnarne una
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/confettata-sacchetto-confetti-bomboniera-comunione-bimbo-che-prega/;Confettata Comunione Bimbo che Prega | Albalù;Confettate e Segnaposto Comunione;Bomboniere e Confettate Prima Comunione Personalizzate;Confettate e Segnaposto Comunione;Bomboniere e Confettate Prima Comunione Personalizzate > Confettate e Segnaposto Comunione;https://www.albalu.it/categoria-prodotto/bomboniere-comunione-e-confettate/comunione-confettate-segnaposto/;Bomboniere e Confettate Prima Comunione Personalizzate > Confettate e Segnaposto Comunione;evento singolo (Comunione) -> categoria evento;
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/confettata-sacchetto-portaconfetti-con-albero-della-vita-e-rete/;Confettata Albero della Vita e Rete | Albalù;Confettate e Segnaposto Comunione | Segnaposto e Confettata Cresima Personalizzati | Segnaposto e Confettata Matrimonio Personalizzati;Bomboniere e Confettate Prima Comunione Personalizzate;Confettate e Segnaposto Comunione;Bomboniere e Confettate Prima Comunione Personalizzate > Confettate e Segnaposto Comunione;https://www.albalu.it/categoria-prodotto/bomboniere-comunione-e-confettate/comunione-confettate-segnaposto/;Segnaposto e Confettata Matrimonio Personalizzati;multievento (Comunione, Cresima, Matrimonio) -> tema/tipologia;multievento senza categoria tema/tipologia assegnata: valutare di assegnarne una
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/ferro-di-cavallo-in-resina-argentata-con-vischio-portafortuna/;Ferro di Cavallo Portafortuna con Vischio | Albalù;Portafortuna in Resina Argentata;Complementi d’arredo e idee regalo artigianali;Portafortuna in Resina Argentata;Complementi d’arredo e idee regalo artigianali > Portafortuna in Resina Argentata;https://www.albalu.it/categoria-prodotto/complementi-d-arredo-regali/portafortuna-resina-argentata/;Complementi d’arredo e idee regalo artigianali > Portafortuna in Resina Argentata;nessun evento -> tema/tipologia/altro;
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/ferro-di-cavallo-portafortuna-con-soldi-in-resina-argentata/;Ferro di Cavallo Portafortuna Resina Argento | Albalù;Portafortuna in Resina Argentata;Complementi d’arredo e idee regalo artigianali;Portafortuna in Resina Argentata;Complementi d’arredo e idee regalo artigianali > Portafortuna in Resina Argentata;https://www.albalu.it/categoria-prodotto/complementi-d-arredo-regali/portafortuna-resina-argentata/;Complementi d’arredo e idee regalo artigianali > Portafortuna in Resina Argentata;nessun evento -> tema/tipologia/altro;
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/icona-sacra-famiglia-in-argento-laminato-con-retro-in-legno/;Icona Sacra Famiglia in Argento Laminato con Retro in Legno;Idee Regalo Originali e Artigianali;Complementi d’arredo e idee regalo artigianali;Idee Regalo Originali e Artigianali;Complementi d’arredo e idee regalo artigianali > Idee Regalo Originali e Artigianali;https://www.albalu.it/categoria-prodotto/complementi-d-arredo-regali/regali/;Complementi d’arredo e idee regalo artigianali > Idee Regalo Originali e Artigianali;nessun evento -> tema/tipologia/altro;
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/icona-stampata-su-pelle-e-retro-in-legno-da-appendere-o-da-appoggio/;Quadretto Albero della vita e sacra famiglia in pelle;Quadri Dipinti a Mano su Tela Made in Italy;Complementi d’arredo e idee regalo artigianali;Quadri Dipinti a Mano su Tela Made in Italy;Complementi d’arredo e idee regalo artigianali > Quadri Dipinti a Mano su Tela Made in Italy;https://www.albalu.it/categoria-prodotto/complementi-d-arredo-regali/quadri-dipinti-a-mano-made-in-italy/;Complementi d’arredo e idee regalo artigianali > Quadri Dipinti a Mano su Tela Made in Italy;nessun evento -> tema/tipologia/altro;
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/magnete-bomboniera-ballerina/;Magnete Bomboniera Ballerina Personalizzato | Albalù;Bomboniere per Comunione da Bambina | Confettate e Segnaposto Comunione | Bomboniere Compleanno | Compleanno Confettate Segnaposto;Bomboniere e Confettate Prima Comunione Personalizzate;Bomboniere per Comunione da Bambina;Bomboniere e Confettate Prima Comunione Personalizzate > Bomboniere per Comunione da Bambina;https://www.albalu.it/categoria-prodotto/bomboniere-comunione-e-confettate/bomboniere-comunione-bambina/;Compleanno Confettate Segnaposto;multievento (Compleanno, Comunione) -> tema/tipologia;multievento senza categoria tema/tipologia assegnata: valutare di assegnarne una
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/magnete-bomboniera-comunione-calice/;Magnete Bomboniera Comunione Calice | Albalù;Bomboniere per Comunione da Bambina | Bomboniere Comunione Maschio | Confettate e Segnaposto Comunione;Bomboniere e Confettate Prima Comunione Personalizzate;Bomboniere per Comunione da Bambina;Bomboniere e Confettate Prima Comunione Personalizzate > Bomboniere per Comunione da Bambina;https://www.albalu.it/categoria-prodotto/bomboniere-comunione-e-confettate/bomboniere-comunione-bambina/;Bomboniere e Confettate Prima Comunione Personalizzate > Confettate e Segnaposto Comunione;evento singolo (Comunione) -> categoria evento;
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/orologio-da-parete-con-cuori-grigio/;Orologio da Parete Soggiorno Cuori Grigio | Albalu;Orologi da Parete di Design Artigianali Made in Italy;Complementi d’arredo e idee regalo artigianali;Orologi da Parete di Design Artigianali Made in Italy;Complementi d’arredo e idee regalo artigianali > Orologi da Parete di Design Artigianali Made in Italy;https://www.albalu.it/categoria-prodotto/complementi-d-arredo-regali/orologi-da-parete/;Complementi d’arredo e idee regalo artigianali > Orologi da Parete di Design Artigianali Made in Italy;nessun evento -> tema/tipologia/altro;
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/orologio-da-parete-con-farfalle-grigio/;Orologio da Parete Moderno Farfalle Grigio | Albalu;Orologi da Parete di Design Artigianali Made in Italy;Complementi d’arredo e idee regalo artigianali;Orologi da Parete di Design Artigianali Made in Italy;Complementi d’arredo e idee regalo artigianali > Orologi da Parete di Design Artigianali Made in Italy;https://www.albalu.it/categoria-prodotto/complementi-d-arredo-regali/orologi-da-parete/;Complementi d’arredo e idee regalo artigianali > Orologi da Parete di Design Artigianali Made in Italy;nessun evento -> tema/tipologia/altro;
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/orologio-da-parete-con-farfalle-tortora/;Orologio da Parete Design Farfalle Tortora | Albalu;Orologi da Parete di Design Artigianali Made in Italy;Complementi d’arredo e idee regalo artigianali;Orologi da Parete di Design Artigianali Made in Italy;Complementi d’arredo e idee regalo artigianali > Orologi da Parete di Design Artigianali Made in Italy;https://www.albalu.it/categoria-prodotto/complementi-d-arredo-regali/orologi-da-parete/;Complementi d’arredo e idee regalo artigianali > Orologi da Parete di Design Artigianali Made in Italy;nessun evento -> tema/tipologia/altro;
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/orologio-da-parete-con-fiori-colore-grigio/;Orologio da Parete Moderno Fiori Grigio | Albalu;Orologi da Parete di Design Artigianali Made in Italy;Complementi d’arredo e idee regalo artigianali;Orologi da Parete di Design Artigianali Made in Italy;Complementi d’arredo e idee regalo artigianali > Orologi da Parete di Design Artigianali Made in Italy;https://www.albalu.it/categoria-prodotto/complementi-d-arredo-regali/orologi-da-parete/;Complementi d’arredo e idee regalo artigianali > Orologi da Parete di Design Artigianali Made in Italy;nessun evento -> tema/tipologia/altro;
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/orologio-su-tela-macchina-500-con-cornice-oro-quadro-100-made-in-italy/;Orologio da Parete su Tela Fiat 500 | Albalù;Outlet Quadri e Articoli da Regalo in Offerta;Complementi d’arredo e idee regalo artigianali;Outlet Quadri e Articoli da Regalo in Offerta;Complementi d’arredo e idee regalo artigianali > Outlet Quadri e Articoli da Regalo in Offerta;https://www.albalu.it/categoria-prodotto/complementi-d-arredo-regali/outlet-quadri-e-articoli-da-regalo/;Complementi d’arredo e idee regalo artigianali > Outlet Quadri e Articoli da Regalo in Offerta;nessun evento -> tema/tipologia/altro;
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/portachiavi-in-legno-sagomato-personalizzabile-con-immagine-e-tag-spotify-scannerizzabile/;Portachiavi In Legno Sagomato Personalizzabile Con Immagine e Tag Spotify Scannerizzabile;Idee Regalo Originali e Artigianali;Complementi d’arredo e idee regalo artigianali;Idee Regalo Originali e Artigianali;Complementi d’arredo e idee regalo artigianali > Idee Regalo Originali e Artigianali;https://www.albalu.it/categoria-prodotto/complementi-d-arredo-regali/regali/;Complementi d’arredo e idee regalo artigianali > Idee Regalo Originali e Artigianali;nessun evento -> tema/tipologia/altro;
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/portafoto-in-legno-personalizzato-con-elefanti/;Portafoto in legno personalizzato con Elefanti;Portafoto Personalizzati con Nome, Idea Regalo;Complementi d’arredo e idee regalo artigianali;Portafoto Personalizzati con Nome, Idea Regalo;Complementi d’arredo e idee regalo artigianali > Portafoto Personalizzati con Nome, Idea Regalo;https://www.albalu.it/categoria-prodotto/complementi-d-arredo-regali/portafoto-personalizzati-nome/;Complementi d’arredo e idee regalo artigianali > Portafoto Personalizzati con Nome, Idea Regalo;nessun evento -> tema/tipologia/altro;
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/portafoto-in-legno-personalizzato-con-mongolfiere/;Portafoto in legno personalizzato con Mongolfiere Albalù Bomboniere;Portafoto Personalizzati con Nome, Idea Regalo;Complementi d’arredo e idee regalo artigianali;Portafoto Personalizzati con Nome, Idea Regalo;Complementi d’arredo e idee regalo artigianali > Portafoto Personalizzati con Nome, Idea Regalo;https://www.albalu.it/categoria-prodotto/complementi-d-arredo-regali/portafoto-personalizzati-nome/;Complementi d’arredo e idee regalo artigianali > Portafoto Personalizzati con Nome, Idea Regalo;nessun evento -> tema/tipologia/altro;
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/portafoto-in-legno-personalizzato-con-orsi/;Portafoto in legno personalizzato con Orsi;Portafoto Personalizzati con Nome, Idea Regalo;Complementi d’arredo e idee regalo artigianali;Portafoto Personalizzati con Nome, Idea Regalo;Complementi d’arredo e idee regalo artigianali > Portafoto Personalizzati con Nome, Idea Regalo;https://www.albalu.it/categoria-prodotto/complementi-d-arredo-regali/portafoto-personalizzati-nome/;Complementi d’arredo e idee regalo artigianali > Portafoto Personalizzati con Nome, Idea Regalo;nessun evento -> tema/tipologia/altro;
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/portafoto-personalizzato-regalo-maestre-fine-anno/;Portafoto Personalizzato Regalo Maestre Fine Anno;Bomboniere Portafoto Personalizzabili;Bomboniere per Tipologia: Portafoto, Profumatori, Orologi;Bomboniere Portafoto Personalizzabili;Bomboniere per Tipologia: Portafoto, Profumatori, Orologi > Bomboniere Portafoto Personalizzabili;https://www.albalu.it/categoria-prodotto/bomboniere-per-tipologia/bomboniere-portafoto-personalizzabili/;Bomboniere per Tipologia: Portafoto, Profumatori, Orologi > Bomboniere Portafoto Personalizzabili;nessun evento -> tema/tipologia/altro;
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/profumatore-regalo-maestre-fine-anno-personalizzabile/;Profumatore Regalo Maestre Fine Anno Personalizzabile;Bomboniere Profumatori Ambienti Personalizzati;Bomboniere per Tipologia: Portafoto, Profumatori, Orologi;Bomboniere Profumatori Ambienti Personalizzati;Bomboniere per Tipologia: Portafoto, Profumatori, Orologi > Bomboniere Profumatori Ambienti Personalizzati;https://www.albalu.it/categoria-prodotto/bomboniere-per-tipologia/bomboniere-profumatori-ambienti-personalizzati/;Bomboniere per Tipologia: Portafoto, Profumatori, Orologi > Bomboniere Profumatori Ambienti Personalizzati;nessun evento -> tema/tipologia/altro;
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/quadro-astratto-dipinto-a-mano/;Quadro Astratto Dipinto a Mano su Tela | Albalù;Outlet Quadri e Articoli da Regalo in Offerta | Quadri Dipinti a Mano su Tela Made in Italy;Complementi d’arredo e idee regalo artigianali;Outlet Quadri e Articoli da Regalo in Offerta;Complementi d’arredo e idee regalo artigianali > Outlet Quadri e Articoli da Regalo in Offerta;https://www.albalu.it/categoria-prodotto/complementi-d-arredo-regali/outlet-quadri-e-articoli-da-regalo/;Complementi d’arredo e idee regalo artigianali > Outlet Quadri e Articoli da Regalo in Offerta;nessun evento -> tema/tipologia/altro;
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/quadro-calle-panna-con-contorno-argento-quadro-100-made-in-italy/;Quadro Calle panna con contorno Argento;Outlet Quadri e Articoli da Regalo in Offerta | Quadri Dipinti a Mano su Tela Made in Italy;Complementi d’arredo e idee regalo artigianali;Outlet Quadri e Articoli da Regalo in Offerta;Complementi d’arredo e idee regalo artigianali > Outlet Quadri e Articoli da Regalo in Offerta;https://www.albalu.it/categoria-prodotto/complementi-d-arredo-regali/outlet-quadri-e-articoli-da-regalo/;Complementi d’arredo e idee regalo artigianali > Outlet Quadri e Articoli da Regalo in Offerta;nessun evento -> tema/tipologia/altro;
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/quadro-cristo-bianco-in-resina-e-retro-cuore-legno-grigio-laccato-quadro-100-made-in-italy/;Quadro Cristo Bianco in Resina e Retro Cuore Legno Grigio;Outlet Quadri e Articoli da Regalo in Offerta | Quadri Dipinti a Mano su Tela Made in Italy;Complementi d’arredo e idee regalo artigianali;Outlet Quadri e Articoli da Regalo in Offerta;Complementi d’arredo e idee regalo artigianali > Outlet Quadri e Articoli da Regalo in Offerta;https://www.albalu.it/categoria-prodotto/complementi-d-arredo-regali/outlet-quadri-e-articoli-da-regalo/;Complementi d’arredo e idee regalo artigianali > Outlet Quadri e Articoli da Regalo in Offerta;nessun evento -> tema/tipologia/altro;
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/quadro-fiore-stuccato-a-mano-con-riporti-argento-quadro-100-made-in-italy/;Quadro fiore Stuccato a Mano con Riporti Argento;Outlet Quadri e Articoli da Regalo in Offerta | Quadri Dipinti a Mano su Tela Made in Italy;Complementi d’arredo e idee regalo artigianali;Outlet Quadri e Articoli da Regalo in Offerta;Complementi d’arredo e idee regalo artigianali > Outlet Quadri e Articoli da Regalo in Offerta;https://www.albalu.it/categoria-prodotto/complementi-d-arredo-regali/outlet-quadri-e-articoli-da-regalo/;Complementi d’arredo e idee regalo artigianali > Outlet Quadri e Articoli da Regalo in Offerta;nessun evento -> tema/tipologia/altro;
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/quadro-orologio-albero-vita-4-pannelli/;Orologio Parete Moderno Albero Vita 120 | Albalu;Orologi da Parete di Design Artigianali Made in Italy;Complementi d’arredo e idee regalo artigianali;Orologi da Parete di Design Artigianali Made in Italy;Complementi d’arredo e idee regalo artigianali > Orologi da Parete di Design Artigianali Made in Italy;https://www.albalu.it/categoria-prodotto/complementi-d-arredo-regali/orologi-da-parete/;Complementi d’arredo e idee regalo artigianali > Orologi da Parete di Design Artigianali Made in Italy;nessun evento -> tema/tipologia/altro;
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/quadro-orologio-albero-vita-bipannello/;Orologio Parete Design Albero Vita 100 | Albalu;Orologi da Parete di Design Artigianali Made in Italy;Complementi d’arredo e idee regalo artigianali;Orologi da Parete di Design Artigianali Made in Italy;Complementi d’arredo e idee regalo artigianali > Orologi da Parete di Design Artigianali Made in Italy;https://www.albalu.it/categoria-prodotto/complementi-d-arredo-regali/orologi-da-parete/;Complementi d’arredo e idee regalo artigianali > Orologi da Parete di Design Artigianali Made in Italy;nessun evento -> tema/tipologia/altro;
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/quadro-orologio-albero-vita-oro/;Orologio Parete Grande Moderno Albero Oro | Albalu;Orologi da Parete di Design Artigianali Made in Italy;Complementi d’arredo e idee regalo artigianali;Orologi da Parete di Design Artigianali Made in Italy;Complementi d’arredo e idee regalo artigianali > Orologi da Parete di Design Artigianali Made in Italy;https://www.albalu.it/categoria-prodotto/complementi-d-arredo-regali/orologi-da-parete/;Complementi d’arredo e idee regalo artigianali > Orologi da Parete di Design Artigianali Made in Italy;nessun evento -> tema/tipologia/altro;
B;B - primaria sulla categoria padre invece che sulla figlia;spostare la primaria sulla sottocategoria;https://www.albalu.it/prodotto/quadro-orologio-albero-vita-tortora-grigio/;Orologio da Parete Design Albero Vita | Albalu;Orologi da Parete di Design Artigianali Made in Italy;Complementi d’arredo e idee regalo artigianali;Orologi da Parete di Design Artigianali Made in Italy;Complementi d’arredo e idee regalo artigianali > Orologi da Parete di Design Artigianali Made in Italy;https://www.albalu.it/categoria-prodotto/complementi-d-arredo-regali/orologi-da-parete/;Complementi d’arredo e idee regalo artigianali > Orologi da Parete di Design Artigianali Made in Italy;nessun evento -> tema/tipologia/altro;
